stime,mode,size,color,date,pool,author,dbid,num,text
736.52500,5,25,16777215,1712809369,0,1777d686,1557916919351547136,10,保险最有用的一次
741.48700,5,25,16777215,1712808838,0,4b224678,1557912471803700736,10,《上墙》
1314.37700,1,25,16777215,1712815518,0,f7ebba0,1557968502764472832,10,现在是事故版，还得看看大梁怎么样
1520.86300,1,25,16777215,1712810701,0,ca90378f,1557928092012604416,10,教主说这车飞一圈得散热20分钟 间隔这么短 刹车还是过热了
1337.77700,1,25,16777215,1712833931,0,3950d135,1558122964401332224,10,再接再厉再撞辉煌
1868.97500,1,25,16777215,1712811411,0,f9d75b62,1557934053804620032,10,就是梭哈赌，懂的
2249.09500,1,25,16777215,1712809762,0,f520e7df,1557920221124134144,10,真男人
527.05900,1,25,16777215,1712849730,0,c61cf813,1558255497730347264,10,《但只要》
1641.88600,5,25,16777215,1712828971,0,8eb6e249,1558081352056877824,10,电子刹车如果出现严重刹车性能衰减就应该用最醒目的方式连续警报，而不是只在中控弹窗
831.30800,1,25,16777215,1712853358,0,f885a1e6,1558285929041639936,10,ESP：我已经在救了
970.52000,5,25,15138834,1712808719,0,1ac11330,1557911473710630912,10,《完全没有什么问题》
2180.38700,1,25,16777215,1712811590,0,b99bf7d3,1557935555105300480,10,这一期节目很有意义
797.58800,1,25,16777215,1712835856,0,c5a57c2,1558139115567153920,10,命运给了你很多次机会
1403.24900,5,25,15138834,1712812047,0,336aa06,1557939390192620288,10,说得对
62.20900,1,25,16777215,1712824009,0,ba31e8a5,1558039730661591808,10,堂主:排队？不存在的，我立马提车！
343.78100,1,25,16777215,1712809393,0,11f6bf6d,1557917125912512512,10,说实话 U8我在路上遇见也只是看一眼 哇~  su7就有不一样的反应哈哈哈哈哈
1851.06900,1,25,16777215,1712809181,0,174f4f67,1557915343996118016,10,飞驰人生_真实版
297.27000,1,25,16777215,1712833305,0,330cebda,1558117708728624896,10,我们陕西人是这样的，虽然糙了点，感情是真实的
149.53000,1,25,16777215,1712834164,0,cd73193f,1558124916698635008,10,首摔首撞都让你碰上了
1561.04600,1,25,16777215,1712810420,0,b5c522,1557925736466471168,10,只刷一圈？那油温140呢（doge
643.93500,1,25,16707842,1712815731,0,586247b6,1557970292566260480,10,雷军牛逼啊
210.44200,1,25,16777215,1712807459,0,8de1682b,1557900902319395840,10,《还回来的时候》
206.63200,1,25,16777215,1712807381,0,18efd8aa,1557900242412667136,10,义父（加价提车版）
423.62700,5,25,38979,1712820384,0,c2c1d241,1558009325069715456,10,合法超10%哦，20%就得罚款了，只是不扣分
1885.45900,1,25,16777215,1712810191,0,1924c688,1557923820550041600,10,理解，玩游戏看到绿条也上头
2326.94400,5,25,13369971,1712827098,0,f05ccbb,1558065641477647872,10,"I am stupid"
1376.74200,1,25,16777215,1712810844,0,8624ba4a,1557929296817841408,10,不得不说心态真好熬
2046.78800,1,25,16777215,1712831670,0,1d053c2c,1558103996005516544,10,刹车片估计偏软，民用车刹车软是为了舒适性，不是为了竞技性
1948.90500,1,25,16777215,1712822158,0,3a0f1dc2,1558024206376309248,10,车一直在报警，只是up无视了报警也没检查刹车片导致的
662.57700,1,25,16777215,1712827812,0,bc3f623a,1558071635423353344,10,7.3的200可以堪比F2了吧
1258.22600,1,25,16777215,1712809885,0,571cf48c,1557921252193581568,10,笑容到我脸上了
1806.22800,1,25,16777215,1712815118,0,17b4b9e5,1557965148168437248,10,大脑：我知道，但我不管
55.82900,1,25,16777215,1712808084,0,2e42b2e,1557906141466639616,10,真·复刻埃尔顿·塞纳
1879.05600,1,25,16777215,1712814692,0,cd4af401,1557961573228655104,10,我知道，沈腾也这样
2149.37500,1,25,16777215,1712824945,0,ed2002b2,1558047582306097152,10,《我太懂了》
71.54900,1,25,16777215,1712808937,0,95de3345,1557913294709226240,10,这么一撞，更像720了
1685.35100,1,25,16777215,1712825574,0,a3f532dc,1558052858153303552,10,跑赛道开能量回收很合理啊，变相增加制动力缓解刹车压力了，还能保电量
1821.41800,5,25,16777215,1712827319,0,4920a3e0,1558067496677123584,10,车窗下降好评
542.31200,5,25,16777215,1712828744,0,fdf21acc,1558079453228557568,10,《最后一次导航结束》
2104.13700,1,25,16777215,1712812302,0,3348432f,1557941525990741504,10,赛道级日常q一下
1678.25600,1,25,16777215,1712842955,0,eb3918f6,1558198662688045568,10,你知道赛道和公路的刹车需求差异吗？公路的刹车你正常保养能开没？
255.27800,5,25,16707842,1712838315,0,c1c52966,1558159739480151552,10,《保安》
2331.79400,1,25,16777215,1712811327,0,b20a3cd2,1557933349220544000,10,两位拉导，拉提菲和拉塞尔
2417.48300,5,25,16777215,1712813456,0,da947e05,1557951204036768512,10,持续上头doge
